Cod Oficina ;N° Clientes ofc;Fecha;Tiempo espera promedio del cliente
23;80;viernes, 25 de enero de 2019;0:21
23;75;lunes, 28 de enero de 2019;0:10
23;75;martes, 29 de enero de 2019;0:08
23;80;miércoles, 30 de enero de 2019;0:14
23;80;jueves, 31 de enero de 2019;0:45
23;75;viernes, 1 de febrero de 2019;0:30
23;80;lunes, 4 de febrero de 2019;0:15
23;80;martes, 5 de febrero de 2019;0:07
23;80;miércoles, 6 de febrero de 2019;0:07
23;80;jueves, 7 de febrero de 2019;0:03
23;85;viernes, 8 de febrero de 2019;0:29
23;85;lunes, 11 de febrero de 2019;0:25
23;85;martes, 12 de febrero de 2019;0:30
23;85;miércoles, 13 de febrero de 2019;0:25
23;85;jueves, 14 de febrero de 2019;0:16
23;95;viernes, 15 de febrero de 2019;0:40
23;95;lunes, 18 de febrero de 2019;0:39
23;95;martes, 19 de febrero de 2019;0:32
23;90;miércoles, 20 de febrero de 2019;0:26
23;90;jueves, 21 de febrero de 2019;0:18
23;70;viernes, 22 de febrero de 2019;0:13
23;95;lunes, 25 de febrero de 2019;0:26
23;90;martes, 26 de febrero de 2019;0:07
23;90;miércoles, 27 de febrero de 2019;0:03
23;95;jueves, 28 de febrero de 2019;0:44
23;90;viernes, 1 de marzo de 2019;0:31
23;80;lunes, 4 de marzo de 2019;0:14
23;80;martes, 5 de marzo de 2019;0:15
23;80;miércoles, 6 de marzo de 2019;0:07
23;85;jueves, 7 de marzo de 2019;0:07
23;95;viernes, 8 de marzo de 2019;0:29
23;95;lunes, 11 de marzo de 2019;0:25
23;95;martes, 12 de marzo de 2019;0:30
23;95;miércoles, 13 de marzo de 2019;0:25
23;95;jueves, 14 de marzo de 2019;0:16
23;95;viernes, 15 de marzo de 2019;0:40
23;95;lunes, 18 de marzo de 2019;0:39
23;95;martes, 19 de marzo de 2019;0:32
23;95;miércoles, 20 de marzo de 2019;0:26
23;95;jueves, 21 de marzo de 2019;0:18
23;85;viernes, 22 de marzo de 2019;0:13
23;95;martes, 26 de marzo de 2019;0:18
23;85;miércoles, 27 de marzo de 2019;0:14
23;85;jueves, 28 de marzo de 2019;0:15
23;95;viernes, 29 de marzo de 2019;0:43
23;90;lunes, 1 de abril de 2019;0:29
23;90;martes, 2 de abril de 2019;0:28
23;85;miércoles, 3 de abril de 2019;0:18
23;85;jueves, 4 de abril de 2019;0:16
23;95;viernes, 5 de abril de 2019;0:29
23;85;lunes, 8 de abril de 2019;0:16
23;95;martes, 9 de abril de 2019;0:29
23;95;miércoles, 10 de abril de 2019;0:25
23;95;jueves, 11 de abril de 2019;0:30
23;95;viernes, 12 de abril de 2019;0:25
23;95;lunes, 15 de abril de 2019;0:40
23;95;martes, 16 de abril de 2019;0:39
23;85;miércoles, 17 de abril de 2019;0:13
23;95;lunes, 22 de abril de 2019;0:25
23;95;martes, 23 de abril de 2019;0:16
23;95;miércoles, 24 de abril de 2019;0:26
23;95;jueves, 25 de abril de 2019;0:18
23;95;viernes, 26 de abril de 2019;0:26
23;95;lunes, 29 de abril de 2019;0:18
23;95;martes, 30 de abril de 2019;0:42
23;95;jueves, 2 de mayo de 2019;0:41
23;95;viernes, 3 de mayo de 2019;0:41
23;95;lunes, 6 de mayo de 2019;0:29
23;95;martes, 7 de mayo de 2019;0:25
23;95;miércoles, 8 de mayo de 2019;0:30
23;95;jueves, 9 de mayo de 2019;0:25
23;95;viernes, 10 de mayo de 2019;0:25
23;95;lunes, 13 de mayo de 2019;0:16
23;95;martes, 14 de mayo de 2019;0:26
23;95;miércoles, 15 de mayo de 2019;0:42
23;95;jueves, 16 de mayo de 2019;0:40
23;95;viernes, 17 de mayo de 2019;0:38
23;95;lunes, 20 de mayo de 2019;0:36
23;95;martes, 21 de mayo de 2019;0:25
23;95;miércoles, 22 de mayo de 2019;0:16
23;85;jueves, 23 de mayo de 2019;0:14
23;85;viernes, 24 de mayo de 2019;0:15
23;95;lunes, 27 de mayo de 2019;0:18
23;90;martes, 28 de mayo de 2019;0:14
23;90;miércoles, 29 de mayo de 2019;0:15
23;90;jueves, 30 de mayo de 2019;0:39
23;95;viernes, 31 de mayo de 2019;0:41
23;90;martes, 4 de junio de 2019;0:16
23;90;miércoles, 5 de junio de 2019;0:29
23;85;jueves, 6 de junio de 2019;0:16
23;80;viernes, 7 de junio de 2019;0:07
23;80;lunes, 10 de junio de 2019;0:07
23;95;martes, 11 de junio de 2019;0:25
23;95;miércoles, 12 de junio de 2019;0:16
23;95;jueves, 13 de junio de 2019;0:26
23;95;viernes, 14 de junio de 2019;0:42
23;95;lunes, 17 de junio de 2019;0:40
23;95;martes, 18 de junio de 2019;0:38
23;95;miércoles, 19 de junio de 2019;0:36
23;95;jueves, 20 de junio de 2019;0:25
23;95;viernes, 21 de junio de 2019;0:16
23;95;martes, 25 de junio de 2019;0:18
23;90;miércoles, 26 de junio de 2019;0:14
23;85;jueves, 27 de junio de 2019;0:15
23;95;viernes, 28 de junio de 2019;0:40
23;90;martes, 2 de julio de 2019;0:16
23;90;miércoles, 3 de julio de 2019;0:29
23;85;jueves, 4 de julio de 2019;0:16
23;85;viernes, 5 de julio de 2019;0:07
23;80;lunes, 8 de julio de 2019;0:19
23;95;martes, 9 de julio de 2019;0:25
23;95;miércoles, 10 de julio de 2019;0:16
23;95;jueves, 11 de julio de 2019;0:26
23;95;viernes, 12 de julio de 2019;0:42
23;95;lunes, 15 de julio de 2019;0:40
23;95;martes, 16 de julio de 2019;0:40
23;95;miércoles, 17 de julio de 2019;0:38
23;95;jueves, 18 de julio de 2019;0:36
23;95;viernes, 19 de julio de 2019;0:25
23;95;lunes, 22 de julio de 2019;0:22
23;90;martes, 23 de julio de 2019;0:14
23;85;miércoles, 24 de julio de 2019;0:15
23;95;jueves, 25 de julio de 2019;0:19
23;90;viernes, 26 de julio de 2019;0:14
23;85;lunes, 29 de julio de 2019;0:15
23;80;martes, 30 de julio de 2019;0:38
23;95;miércoles, 31 de julio de 2019;0:39
23;90;jueves, 1 de agosto de 2019;0:26
23;80;viernes, 2 de agosto de 2019;0:29
23;85;lunes, 5 de agosto de 2019;0:16
23;95;martes, 6 de agosto de 2019;0:29
23;95;jueves, 8 de agosto de 2019;0:25
23;95;viernes, 9 de agosto de 2019;0:30
23;95;lunes, 12 de agosto de 2019;0:25
23;95;martes, 13 de agosto de 2019;0:25
23;95;miércoles, 14 de agosto de 2019;0:26
23;95;jueves, 15 de agosto de 2019;0:39
23;95;viernes, 16 de agosto de 2019;0:37
23;95;martes, 20 de agosto de 2019;0:30
23;95;miércoles, 21 de agosto de 2019;0:20
23;95;jueves, 22 de agosto de 2019;0:28
23;95;viernes, 23 de agosto de 2019;0:26
23;95;lunes, 26 de agosto de 2019;0:25
23;95;martes, 27 de agosto de 2019;0:16
23;95;miércoles, 28 de agosto de 2019;0:18
23;95;jueves, 29 de agosto de 2019;0:25
23;95;viernes, 30 de agosto de 2019;0:45
23;95;lunes, 2 de septiembre de 2019;0:39
23;95;martes, 3 de septiembre de 2019;0:37
23;95;miércoles, 4 de septiembre de 2019;0:26
23;95;jueves, 5 de septiembre de 2019;0:23
23;95;viernes, 6 de septiembre de 2019;0:22
23;95;lunes, 9 de septiembre de 2019;0:30
23;95;martes, 10 de septiembre de 2019;0:25
23;95;miércoles, 11 de septiembre de 2019;0:25
23;95;jueves, 12 de septiembre de 2019;0:26
23;95;viernes, 13 de septiembre de 2019;0:45
23;95;lunes, 16 de septiembre de 2019;0:36
23;95;martes, 17 de septiembre de 2019;0:37
23;95;miércoles, 18 de septiembre de 2019;0:30
23;95;jueves, 19 de septiembre de 2019;0:27
23;95;viernes, 20 de septiembre de 2019;0:22
23;95;lunes, 23 de septiembre de 2019;0:17
23;95;martes, 24 de septiembre de 2019;0:20
23;95;miércoles, 25 de septiembre de 2019;0:23
23;95;jueves, 26 de septiembre de 2019;0:11
23;95;viernes, 27 de septiembre de 2019;0:21
23;95;lunes, 30 de septiembre de 2019;0:39
23;95;martes, 1 de octubre de 2019;0:39
23;95;miércoles, 2 de octubre de 2019;0:37
23;95;jueves, 3 de octubre de 2019;0:26
23;95;viernes, 4 de octubre de 2019;0:23
23;95;lunes, 7 de octubre de 2019;0:22
23;95;martes, 8 de octubre de 2019;0:30
23;95;miércoles, 9 de octubre de 2019;0:25
23;95;jueves, 10 de octubre de 2019;0:25
23;95;viernes, 11 de octubre de 2019;0:26
23;95;martes, 15 de octubre de 2019;0:40
23;95;miércoles, 16 de octubre de 2019;0:19
23;95;jueves, 17 de octubre de 2019;0:22
23;95;viernes, 18 de octubre de 2019;0:29
23;95;lunes, 21 de octubre de 2019;0:22
23;95;martes, 22 de octubre de 2019;0:17
23;90;miércoles, 23 de octubre de 2019;0:14
23;85;jueves, 24 de octubre de 2019;0:15
23;95;viernes, 25 de octubre de 2019;0:23
23;90;lunes, 28 de octubre de 2019;0:09
23;85;martes, 29 de octubre de 2019;0:15
23;80;miércoles, 30 de octubre de 2019;0:39
23;95;jueves, 31 de octubre de 2019;0:41
23;90;viernes, 1 de noviembre de 2019;0:41
23;90;martes, 5 de noviembre de 2019;0:17
23;85;miércoles, 6 de noviembre de 2019;0:19
23;80;jueves, 7 de noviembre de 2019;0:19
23;95;viernes, 8 de noviembre de 2019;0:30
23;95;martes, 12 de noviembre de 2019;0:25
23;95;miércoles, 13 de noviembre de 2019;0:25
23;95;jueves, 14 de noviembre de 2019;0:26
23;95;viernes, 15 de noviembre de 2019;0:40
24;98;jueves, 1 de noviembre de 2018;0:45
24;98;viernes, 2 de noviembre de 2018;0:22
24;90;martes, 6 de noviembre de 2018;0:10
24;83;miércoles, 7 de noviembre de 2018;0:04
24;83;jueves, 8 de noviembre de 2018;0:06
24;90;viernes, 9 de noviembre de 2018;0:15
24;92;martes, 13 de noviembre de 2018;0:18
24;95;miércoles, 14 de noviembre de 2018;0:40
24;95;jueves, 15 de noviembre de 2018;0:37
24;95;viernes, 16 de noviembre de 2018;1:09
24;96;lunes, 19 de noviembre de 2018;1:04
24;96;martes, 20 de noviembre de 2018;1:04
24;90;miércoles, 21 de noviembre de 2018;0:45
24;90;jueves, 22 de noviembre de 2018;0:37
24;90;viernes, 23 de noviembre de 2018;0:24
24;83;lunes, 26 de noviembre de 2018;0:15
24;81;martes, 27 de noviembre de 2018;0:12
24;80;miércoles, 28 de noviembre de 2018;0:21
24;80;jueves, 29 de noviembre de 2018;0:22
24;143;viernes, 30 de noviembre de 2018;1:07
24;135;lunes, 3 de diciembre de 2018;0:43
24;128;martes, 4 de diciembre de 2018;0:21
24;120;miércoles, 5 de diciembre de 2018;0:09
24;128;jueves, 6 de diciembre de 2018;0:03
24;120;viernes, 7 de diciembre de 2018;0:04
24;143;lunes, 10 de diciembre de 2018;1:04
24;143;martes, 11 de diciembre de 2018;1:04
24;143;miércoles, 12 de diciembre de 2018;0:45
24;143;jueves, 13 de diciembre de 2018;0:37
24;143;viernes, 14 de diciembre de 2018;0:24
24;143;lunes, 17 de diciembre de 2018;1:00
24;143;martes, 18 de diciembre de 2018;0:58
24;143;miércoles, 19 de diciembre de 2018;0:48
24;143;jueves, 20 de diciembre de 2018;0:39
24;143;viernes, 21 de diciembre de 2018;0:27
24;135;lunes, 24 de diciembre de 2018;0:15
24;128;miércoles, 26 de diciembre de 2018;0:12
24;120;jueves, 27 de diciembre de 2018;0:21
24;143;viernes, 28 de diciembre de 2018;0:28
24;90;lunes, 31 de diciembre de 2018;1:04
24;60;miércoles, 2 de enero de 2019;0:45
24;68;jueves, 3 de enero de 2019;0:22
24;71;viernes, 4 de enero de 2019;0:10
24;83;martes, 8 de enero de 2019;0:10
24;83;miércoles, 9 de enero de 2019;0:04
24;83;jueves, 10 de enero de 2019;0:06
24;83;viernes, 11 de enero de 2019;0:09
24;75;lunes, 14 de enero de 2019;0:15
24;120;martes, 15 de enero de 2019;0:30
24;120;miércoles, 16 de enero de 2019;0:18
24;113;jueves, 17 de enero de 2019;0:12
24;120;viernes, 18 de enero de 2019;0:58
24;102;lunes, 21 de enero de 2019;0:15
24;83;martes, 22 de enero de 2019;0:13
24;83;miércoles, 23 de enero de 2019;0:21
24;83;jueves, 24 de enero de 2019;0:15
24;120;viernes, 25 de enero de 2019;0:31
24;113;lunes, 28 de enero de 2019;0:15
24;113;martes, 29 de enero de 2019;0:12
24;120;miércoles, 30 de enero de 2019;0:21
24;120;jueves, 31 de enero de 2019;1:07
24;113;viernes, 1 de febrero de 2019;0:45
24;120;lunes, 4 de febrero de 2019;0:22
24;120;martes, 5 de febrero de 2019;0:10
24;120;miércoles, 6 de febrero de 2019;0:10
24;120;jueves, 7 de febrero de 2019;0:04
24;128;viernes, 8 de febrero de 2019;0:43
24;128;lunes, 11 de febrero de 2019;0:37
24;128;martes, 12 de febrero de 2019;0:45
24;128;miércoles, 13 de febrero de 2019;0:37
24;128;jueves, 14 de febrero de 2019;0:24
24;143;viernes, 15 de febrero de 2019;1:00
24;143;lunes, 18 de febrero de 2019;0:58
24;143;martes, 19 de febrero de 2019;0:48
24;135;miércoles, 20 de febrero de 2019;0:39
24;135;jueves, 21 de febrero de 2019;0:27
24;105;viernes, 22 de febrero de 2019;0:19
24;143;lunes, 25 de febrero de 2019;0:39
24;135;martes, 26 de febrero de 2019;0:10
24;135;miércoles, 27 de febrero de 2019;0:04
24;143;jueves, 28 de febrero de 2019;1:06
24;135;viernes, 1 de marzo de 2019;0:46
24;120;lunes, 4 de marzo de 2019;0:21
24;120;martes, 5 de marzo de 2019;0:22
24;120;miércoles, 6 de marzo de 2019;0:10
24;128;jueves, 7 de marzo de 2019;0:10
24;143;viernes, 8 de marzo de 2019;0:43
24;143;lunes, 11 de marzo de 2019;0:37
24;143;martes, 12 de marzo de 2019;0:45
24;143;miércoles, 13 de marzo de 2019;0:37
24;143;jueves, 14 de marzo de 2019;0:24
24;143;viernes, 15 de marzo de 2019;1:00
24;143;lunes, 18 de marzo de 2019;0:58
24;143;martes, 19 de marzo de 2019;0:48
24;143;miércoles, 20 de marzo de 2019;0:39
24;143;jueves, 21 de marzo de 2019;0:27
24;128;viernes, 22 de marzo de 2019;0:19
24;143;martes, 26 de marzo de 2019;0:27
24;128;miércoles, 27 de marzo de 2019;0:21
24;128;jueves, 28 de marzo de 2019;0:22
24;143;viernes, 29 de marzo de 2019;1:04
24;135;lunes, 1 de abril de 2019;0:43
24;135;martes, 2 de abril de 2019;0:42
24;128;miércoles, 3 de abril de 2019;0:27
24;128;jueves, 4 de abril de 2019;0:24
24;143;viernes, 5 de abril de 2019;0:43
24;128;lunes, 8 de abril de 2019;0:24
24;143;martes, 9 de abril de 2019;0:43
24;143;miércoles, 10 de abril de 2019;0:37
24;143;jueves, 11 de abril de 2019;0:45
24;143;viernes, 12 de abril de 2019;0:37
24;143;lunes, 15 de abril de 2019;1:00
24;143;martes, 16 de abril de 2019;0:58
24;128;miércoles, 17 de abril de 2019;0:19
24;143;lunes, 22 de abril de 2019;0:37
24;143;martes, 23 de abril de 2019;0:24
24;143;miércoles, 24 de abril de 2019;0:39
24;143;jueves, 25 de abril de 2019;0:27
24;143;viernes, 26 de abril de 2019;0:39
24;143;lunes, 29 de abril de 2019;0:27
24;143;martes, 30 de abril de 2019;1:03
24;143;jueves, 2 de mayo de 2019;1:01
24;143;viernes, 3 de mayo de 2019;1:01
24;143;lunes, 6 de mayo de 2019;0:43
24;143;martes, 7 de mayo de 2019;0:37
24;143;miércoles, 8 de mayo de 2019;0:45
24;143;jueves, 9 de mayo de 2019;0:37
24;143;viernes, 10 de mayo de 2019;0:37
24;143;lunes, 13 de mayo de 2019;0:24
24;143;martes, 14 de mayo de 2019;0:39
24;143;miércoles, 15 de mayo de 2019;1:03
24;143;jueves, 16 de mayo de 2019;1:00
24;143;viernes, 17 de mayo de 2019;0:57
24;143;lunes, 20 de mayo de 2019;0:54
24;143;martes, 21 de mayo de 2019;0:37
24;143;miércoles, 22 de mayo de 2019;0:24
24;128;jueves, 23 de mayo de 2019;0:21
24;128;viernes, 24 de mayo de 2019;0:22
24;143;lunes, 27 de mayo de 2019;0:27
24;135;martes, 28 de mayo de 2019;0:21
24;135;miércoles, 29 de mayo de 2019;0:22
24;135;jueves, 30 de mayo de 2019;0:58
24;143;viernes, 31 de mayo de 2019;1:01
24;135;martes, 4 de junio de 2019;0:24
24;135;miércoles, 5 de junio de 2019;0:43
24;128;jueves, 6 de junio de 2019;0:24
24;120;viernes, 7 de junio de 2019;0:10
24;120;lunes, 10 de junio de 2019;0:10
24;143;martes, 11 de junio de 2019;0:37
24;143;miércoles, 12 de junio de 2019;0:24
24;143;jueves, 13 de junio de 2019;0:39
24;143;viernes, 14 de junio de 2019;1:03
24;143;lunes, 17 de junio de 2019;1:00
24;143;martes, 18 de junio de 2019;0:57
24;143;miércoles, 19 de junio de 2019;0:54
24;143;jueves, 20 de junio de 2019;0:37
24;143;viernes, 21 de junio de 2019;0:24
24;143;martes, 25 de junio de 2019;0:27
24;135;miércoles, 26 de junio de 2019;0:21
24;128;jueves, 27 de junio de 2019;0:22
24;143;viernes, 28 de junio de 2019;1:00
24;135;martes, 2 de julio de 2019;0:24
24;135;miércoles, 3 de julio de 2019;0:43
24;128;jueves, 4 de julio de 2019;0:24
24;128;viernes, 5 de julio de 2019;0:10
24;120;lunes, 8 de julio de 2019;0:28
24;143;martes, 9 de julio de 2019;0:37
24;143;miércoles, 10 de julio de 2019;0:24
24;143;jueves, 11 de julio de 2019;0:39
24;143;viernes, 12 de julio de 2019;1:03
24;143;lunes, 15 de julio de 2019;1:00
24;143;martes, 16 de julio de 2019;1:00
24;143;miércoles, 17 de julio de 2019;0:57
24;143;jueves, 18 de julio de 2019;0:54
24;143;viernes, 19 de julio de 2019;0:37
24;143;lunes, 22 de julio de 2019;0:33
24;135;martes, 23 de julio de 2019;0:21
24;128;miércoles, 24 de julio de 2019;0:22
24;143;jueves, 25 de julio de 2019;0:28
24;135;viernes, 26 de julio de 2019;0:21
24;128;lunes, 29 de julio de 2019;0:22
24;120;martes, 30 de julio de 2019;0:57
24;143;miércoles, 31 de julio de 2019;0:58
24;135;jueves, 1 de agosto de 2019;0:39
24;120;viernes, 2 de agosto de 2019;0:43
24;128;lunes, 5 de agosto de 2019;0:24
24;143;martes, 6 de agosto de 2019;0:43
24;143;jueves, 8 de agosto de 2019;0:37
24;143;viernes, 9 de agosto de 2019;0:45
24;143;lunes, 12 de agosto de 2019;0:37
24;143;martes, 13 de agosto de 2019;0:37
24;143;miércoles, 14 de agosto de 2019;0:39
24;143;jueves, 15 de agosto de 2019;0:58
24;143;viernes, 16 de agosto de 2019;0:55
24;143;martes, 20 de agosto de 2019;0:45
24;143;miércoles, 21 de agosto de 2019;0:30
24;143;jueves, 22 de agosto de 2019;0:42
24;143;viernes, 23 de agosto de 2019;0:39
24;143;lunes, 26 de agosto de 2019;0:37
24;143;martes, 27 de agosto de 2019;0:24
24;143;miércoles, 28 de agosto de 2019;0:27
24;143;jueves, 29 de agosto de 2019;0:37
24;143;viernes, 30 de agosto de 2019;1:07
24;143;lunes, 2 de septiembre de 2019;0:58
24;143;martes, 3 de septiembre de 2019;0:55
24;143;miércoles, 4 de septiembre de 2019;0:39
24;143;jueves, 5 de septiembre de 2019;0:34
24;143;viernes, 6 de septiembre de 2019;0:33
24;143;lunes, 9 de septiembre de 2019;0:45
24;143;martes, 10 de septiembre de 2019;0:37
24;143;miércoles, 11 de septiembre de 2019;0:37
24;143;jueves, 12 de septiembre de 2019;0:39
24;143;viernes, 13 de septiembre de 2019;1:07
24;143;lunes, 16 de septiembre de 2019;0:54
24;143;martes, 17 de septiembre de 2019;0:55
24;143;miércoles, 18 de septiembre de 2019;0:45
24;143;jueves, 19 de septiembre de 2019;0:40
24;143;viernes, 20 de septiembre de 2019;0:33
24;143;lunes, 23 de septiembre de 2019;0:25
24;143;martes, 24 de septiembre de 2019;0:30
24;143;miércoles, 25 de septiembre de 2019;0:34
24;143;jueves, 26 de septiembre de 2019;0:16
24;143;viernes, 27 de septiembre de 2019;0:31
24;143;lunes, 30 de septiembre de 2019;0:58
24;143;martes, 1 de octubre de 2019;0:58
24;143;miércoles, 2 de octubre de 2019;0:55
24;143;jueves, 3 de octubre de 2019;0:39
24;143;viernes, 4 de octubre de 2019;0:34
24;143;lunes, 7 de octubre de 2019;0:33
24;143;martes, 8 de octubre de 2019;0:45
24;143;miércoles, 9 de octubre de 2019;0:37
24;143;jueves, 10 de octubre de 2019;0:37
24;143;viernes, 11 de octubre de 2019;0:39
24;143;martes, 15 de octubre de 2019;1:00
24;143;miércoles, 16 de octubre de 2019;0:28
24;143;jueves, 17 de octubre de 2019;0:33
24;143;viernes, 18 de octubre de 2019;0:43
24;143;lunes, 21 de octubre de 2019;0:33
24;143;martes, 22 de octubre de 2019;0:25
24;135;miércoles, 23 de octubre de 2019;0:21
24;128;jueves, 24 de octubre de 2019;0:22
24;143;viernes, 25 de octubre de 2019;0:34
24;135;lunes, 28 de octubre de 2019;0:13
24;128;martes, 29 de octubre de 2019;0:22
24;120;miércoles, 30 de octubre de 2019;0:58
24;143;jueves, 31 de octubre de 2019;1:01
24;135;viernes, 1 de noviembre de 2019;1:01
24;135;martes, 5 de noviembre de 2019;0:25
24;128;miércoles, 6 de noviembre de 2019;0:28
24;120;jueves, 7 de noviembre de 2019;0:28
24;143;viernes, 8 de noviembre de 2019;0:45
24;143;martes, 12 de noviembre de 2019;0:37
24;143;miércoles, 13 de noviembre de 2019;0:37
24;143;jueves, 14 de noviembre de 2019;0:39
24;143;viernes, 15 de noviembre de 2019;1:00
197;33;jueves, 1 de noviembre de 2018;0:15
197;33;viernes, 2 de noviembre de 2018;0:07
197;30;martes, 6 de noviembre de 2018;0:03
197;28;miércoles, 7 de noviembre de 2018;0:01
197;28;jueves, 8 de noviembre de 2018;0:02
197;30;viernes, 9 de noviembre de 2018;0:05
197;31;martes, 13 de noviembre de 2018;0:06
197;32;miércoles, 14 de noviembre de 2018;0:13
197;32;jueves, 15 de noviembre de 2018;0:12
197;32;viernes, 16 de noviembre de 2018;0:23
197;32;lunes, 19 de noviembre de 2018;0:21
197;32;martes, 20 de noviembre de 2018;0:21
197;30;miércoles, 21 de noviembre de 2018;0:15
197;30;jueves, 22 de noviembre de 2018;0:12
197;30;viernes, 23 de noviembre de 2018;0:08
197;28;lunes, 26 de noviembre de 2018;0:05
197;27;martes, 27 de noviembre de 2018;0:04
197;27;miércoles, 28 de noviembre de 2018;0:07
197;27;jueves, 29 de noviembre de 2018;0:07
197;48;viernes, 30 de noviembre de 2018;0:22
197;45;lunes, 3 de diciembre de 2018;0:14
197;43;martes, 4 de diciembre de 2018;0:07
197;40;miércoles, 5 de diciembre de 2018;0:03
197;43;jueves, 6 de diciembre de 2018;0:01
197;40;viernes, 7 de diciembre de 2018;0:01
197;48;lunes, 10 de diciembre de 2018;0:21
197;48;martes, 11 de diciembre de 2018;0:21
197;48;miércoles, 12 de diciembre de 2018;0:15
197;48;jueves, 13 de diciembre de 2018;0:12
197;48;viernes, 14 de diciembre de 2018;0:08
197;48;lunes, 17 de diciembre de 2018;0:20
197;48;martes, 18 de diciembre de 2018;0:19
197;48;miércoles, 19 de diciembre de 2018;0:16
197;48;jueves, 20 de diciembre de 2018;0:13
197;48;viernes, 21 de diciembre de 2018;0:09
197;45;lunes, 24 de diciembre de 2018;0:05
197;43;miércoles, 26 de diciembre de 2018;0:04
197;40;jueves, 27 de diciembre de 2018;0:07
197;48;viernes, 28 de diciembre de 2018;0:09
197;30;lunes, 31 de diciembre de 2018;0:21
197;20;miércoles, 2 de enero de 2019;0:15
197;23;jueves, 3 de enero de 2019;0:07
197;24;viernes, 4 de enero de 2019;0:03
197;28;martes, 8 de enero de 2019;0:03
197;28;miércoles, 9 de enero de 2019;0:01
197;28;jueves, 10 de enero de 2019;0:02
197;28;viernes, 11 de enero de 2019;0:03
197;25;lunes, 14 de enero de 2019;0:05
197;40;martes, 15 de enero de 2019;0:10
197;40;miércoles, 16 de enero de 2019;0:06
197;38;jueves, 17 de enero de 2019;0:04
197;40;viernes, 18 de enero de 2019;0:19
197;34;lunes, 21 de enero de 2019;0:05
197;28;martes, 22 de enero de 2019;0:04
197;28;miércoles, 23 de enero de 2019;0:07
197;28;jueves, 24 de enero de 2019;0:05
197;40;viernes, 25 de enero de 2019;0:10
197;38;lunes, 28 de enero de 2019;0:05
197;38;martes, 29 de enero de 2019;0:04
197;40;miércoles, 30 de enero de 2019;0:07
197;40;jueves, 31 de enero de 2019;0:22
197;38;viernes, 1 de febrero de 2019;0:15
197;40;lunes, 4 de febrero de 2019;0:07
197;40;martes, 5 de febrero de 2019;0:03
197;40;miércoles, 6 de febrero de 2019;0:03
197;40;jueves, 7 de febrero de 2019;0:01
197;43;viernes, 8 de febrero de 2019;0:14
197;43;lunes, 11 de febrero de 2019;0:12
197;43;martes, 12 de febrero de 2019;0:15
197;43;miércoles, 13 de febrero de 2019;0:12
