Bog; Nombre ;Cod Oficina ;Direccion ;N° Cajeros X ofc;N° Asesores X ofc
BOGOTA; PARK WAY;57;Av. Cra. 24 No. 37 - 34;2;2
BOGOTA; PLAZA CENTRAL;71;Cra. 65  No. 11 90 Local 249;3;3
BOGOTA; PLAZA CLARO;47;Cra. 68A No. 24B - 10 Local 119;3;3
BOGOTA; PLAZA DE LAS AMERICAS;468;Cra. 71D #6-94 Sur Locales 1709-1711;6;6
BOGOTA; RESTREPO;73;Cra. 20 No 15 - 30 Sur;7;7
BOGOTA; SALITRE PLAZA;22;Cra. 69 B No. 24 - 39 Local 282;6;6
BOGOTA; SAN MARTIN;18;Cra. 7 No. 32 A 70 Local 1-132;4;4
BOGOTA; SANTA FE;700;Cll. 185 No. 43-05 Local 167;6;6
BOGOTA; SIETE DE AGOSTO;42;Cra. 24 No. 63 C - 28;3;3
BOGOTA; SUBA IMPERIAL;634;Cra. 106 No. 146 - 27 L 1-26 CC IMPERIAL;6;6
BOGOTA; TORRE KRYSTAL;498;Cra. 7 No 156 - 10 Local 1 Edificio NORTH POINT TORRE KRYSTAL;1;1
BOGOTA; MODELIA;59;AV Esperanza No. 75-45;3;3
