Nombre ;Codigo Oficina;Cargo;Periodos Pendientes De Vacaciones;Penultima Fecha De Vacaciones;Ultima Fecha De Vacaciones;Proxima Fecha De Vacaciones;Aprobadas;Rec
Cajero 2;48;Cajero;1;1/12/2017;2/12/2018;4/12/2019;0,73
Cajero 3;48;Cajero;1;--;--;9/12/2019;0,14
Cajero 4;48;Cajero;0;--;4/01/2019;No Proyectadas;0,54
Cajero 5;48;Cajero;0;27/02/2018;25/02/2019;No Proyectadas;0,38
Cajero 6;48;Cajero;1;--;15/02/2019;14/02/2020;0,43
Cajero 7;48;Cajero;1;--;15/02/2019;14/02/2020;0,47
Cajero 8;48;Cajero;1;--;15/02/2019;14/02/2020;0,48
Cajero 9;48;Cajero;1;22/03/2018;22/03/2019;20/03/2020;0,49
Asesor 1;197;Asesor Comercial;1;--;--;23/11/2019;0,65
Cajero 1;197;Cajero;1;--;--;22/01/2020;0,23
Asesor 1;79;Asesor Comercial;0;10/10/2018;11/10/2019;No Proyectadas;0,65
Asesor 2;79;Asesor Comercial;0;7/06/2018;12/06/2019;No Proyectadas;0,23
Asesor 3;79;Asesor Comercial;0;12/06/2018;14/06/2019;No Proyectadas;0,46
Asesor 4;79;Asesor Comercial;0;27/09/2018;30/09/2019;No Proyectadas;0,49
Cajero 1;79;Cajero;0;10/082018;12/08/2019;No Proyectadas;0,1
Cajero 2;79;Cajero;1;18/01/2018;21/01/2019;23/01/2020;0,73
Cajero 3;79;Cajero;1;20/12/2017;21/12/2018;20/12/2019;0,14
Cajero 4;79;Cajero;1;--;4/12/2018;4/12/2019;0,54
Asesor 1;432;Asesor Comercial;0;--;15/01/2019;No Proyectadas;0,6
Asesor 2;432;Asesor Comercial;1;1/02/2018;12/02/2019;14/02/20120;0,23
Asesor 3;432;Asesor Comercial;1;9/12/2017;11/12/2018;15/12/2019;0,46
Asesor 4;432;Asesor Comercial;1;--;30/01/2019;30/01/2020;0,54
Cajero 1;432;Cajero;0;--;20/02/2019;26/02/2020;0,1
Cajero 2;432;Cajero;1;31/12/2017;31/12/2018;31/12/2019;0,73
Cajero 3;432;Cajero;0;24/03/2018;27/03/2019;No Proyectadas;0,14
Cajero 4;432;Cajero;0;5/03/2018;11/03/2019;No Proyectadas;0,54
;;;;;;;;
